Pclass,Sex,SibSp,Parch,Ticket,Fare,Embarked,Age,Survived,name_length
3.0,male,1.0,0.0,21171,7.25,S,22.0,no,23
1.0,female,1.0,0.0,17599,71.2833,C,38.0,yes,51
3.0,female,0.0,0.0,3101282,7.925,S,26.0,yes,22
1.0,female,1.0,0.0,113803,53.1,S,35.0,yes,44
3.0,male,0.0,0.0,373450,8.05,S,35.0,no,24
3.0,male,0.0,0.0,330877,8.4583,Q,29.69911764705882,no,16
1.0,male,0.0,0.0,17463,51.8625,S,54.0,no,23
3.0,male,3.0,1.0,349909,21.075,S,2.0,no,30
3.0,female,0.0,2.0,347742,11.1333,S,27.0,yes,49
2.0,female,1.0,0.0,237736,30.0708,C,14.0,yes,35
3.0,female,1.0,1.0,9549,16.7,S,4.0,yes,31
1.0,female,0.0,0.0,113783,26.55,S,58.0,yes,24
3.0,male,0.0,0.0,2151,8.05,S,20.0,no,30
3.0,male,1.0,5.0,347082,31.275,S,39.0,no,27
3.0,female,0.0,0.0,350406,7.8542,S,14.0,no,36
2.0,female,0.0,0.0,248706,16.0,S,55.0,yes,32
3.0,male,4.0,1.0,382652,29.125,Q,2.0,no,20
2.0,male,0.0,0.0,244373,13.0,S,29.69911764705882,yes,28
3.0,female,1.0,0.0,345763,18.0,S,31.0,no,55
3.0,female,0.0,0.0,2649,7.225,C,29.69911764705882,yes,23
2.0,male,0.0,0.0,239865,26.0,S,35.0,no,20
2.0,male,0.0,0.0,248698,13.0,S,34.0,yes,21
3.0,female,0.0,0.0,330923,8.0292,Q,15.0,yes,27
1.0,male,0.0,0.0,113788,35.5,S,28.0,yes,28
3.0,female,3.0,1.0,349909,21.075,S,8.0,no,29
3.0,female,1.0,5.0,347077,31.3875,S,38.0,yes,57
3.0,male,0.0,0.0,2631,7.225,C,29.69911764705882,no,23
1.0,male,3.0,2.0,19950,263.0,S,19.0,no,30
3.0,female,0.0,0.0,330959,7.8792,Q,29.69911764705882,yes,29
3.0,male,0.0,0.0,349216,7.8958,S,29.69911764705882,no,19
1.0,male,0.0,0.0,17601,27.7208,C,40.0,no,24
1.0,female,1.0,0.0,17569,146.5208,C,29.69911764705882,yes,46
3.0,female,0.0,0.0,335677,7.75,Q,29.69911764705882,yes,24
2.0,male,0.0,0.0,24579,10.5,S,66.0,no,21
1.0,male,1.0,0.0,17604,82.1708,C,28.0,no,23
1.0,male,1.0,0.0,113789,52.0,S,42.0,no,30
3.0,male,0.0,0.0,2677,7.2292,C,29.69911764705882,yes,16
3.0,male,0.0,0.0,2152,8.05,S,21.0,no,24
3.0,female,2.0,0.0,345764,18.0,S,18.0,no,34
3.0,female,1.0,0.0,2651,11.2417,C,14.0,yes,27
3.0,female,1.0,0.0,7546,9.475,S,40.0,no,46
2.0,female,1.0,0.0,11668,21.0,S,27.0,no,56
3.0,male,0.0,0.0,349253,7.8958,C,29.69911764705882,no,19
2.0,female,1.0,2.0,2123,41.5792,C,3.0,yes,40
3.0,female,0.0,0.0,330958,7.8792,Q,19.0,yes,29
3.0,male,0.0,0.0,23567,8.05,S,29.69911764705882,no,24
3.0,male,1.0,0.0,370371,15.5,Q,29.69911764705882,no,17
3.0,female,0.0,0.0,14311,7.75,Q,29.69911764705882,yes,25
3.0,male,2.0,0.0,2662,21.6792,C,29.69911764705882,no,19
3.0,female,1.0,0.0,349237,17.8,S,18.0,no,45
3.0,male,4.0,1.0,3101295,39.6875,S,7.0,no,26
3.0,male,0.0,0.0,39886,7.8,S,21.0,no,28
1.0,female,1.0,0.0,17572,76.7292,C,49.0,yes,40
2.0,female,1.0,0.0,2926,26.0,S,29.0,yes,50
1.0,male,0.0,1.0,113509,61.9792,C,65.0,no,30
1.0,male,0.0,0.0,19947,35.5,S,29.69911764705882,yes,17
2.0,female,0.0,0.0,31026,10.5,S,21.0,yes,17
3.0,male,0.0,0.0,2697,7.2292,C,28.5,no,19
2.0,female,1.0,2.0,34651,27.75,S,5.0,yes,28
3.0,male,5.0,2.0,2144,46.9,S,11.0,no,34
3.0,male,0.0,0.0,2669,7.2292,C,22.0,no,21
1.0,male,1.0,0.0,36973,83.475,S,45.0,no,27
3.0,male,3.0,2.0,347088,27.9,S,4.0,no,21
1.0,male,0.0,0.0,17605,27.7208,C,29.69911764705882,no,21
3.0,male,1.0,1.0,2661,15.2458,C,29.69911764705882,yes,24
2.0,female,0.0,0.0,29395,10.5,S,29.0,yes,28
3.0,male,0.0,0.0,3464,8.1583,S,19.0,no,24
3.0,female,4.0,2.0,3101281,7.925,S,17.0,yes,31
3.0,male,2.0,0.0,315151,8.6625,S,26.0,no,17
2.0,male,0.0,0.0,33111,10.5,S,32.0,no,26
3.0,female,5.0,2.0,2144,46.9,S,16.0,no,26
2.0,male,0.0,0.0,14879,73.5,S,21.0,no,20
3.0,male,1.0,0.0,2680,14.4542,C,26.0,no,27
3.0,male,0.0,0.0,1601,56.4958,S,32.0,yes,13
3.0,male,0.0,0.0,348123,7.65,S,25.0,no,23
3.0,male,0.0,0.0,349208,7.8958,S,29.69911764705882,no,17
3.0,male,0.0,0.0,374746,8.05,S,29.69911764705882,no,24
2.0,male,0.0,2.0,248738,29.0,S,0.83,yes,29
3.0,female,0.0,0.0,364516,12.475,S,30.0,yes,24
3.0,male,0.0,0.0,345767,9.0,S,22.0,no,20
3.0,male,0.0,0.0,345779,9.5,S,29.0,yes,27
3.0,female,0.0,0.0,330932,7.7875,Q,29.69911764705882,yes,30
1.0,male,0.0,0.0,113059,47.1,S,28.0,no,23
2.0,female,0.0,0.0,14885,10.5,S,17.0,yes,19
3.0,female,3.0,0.0,3101278,15.85,S,33.0,yes,55
3.0,male,1.0,3.0,6608,34.375,S,16.0,no,22
3.0,male,0.0,0.0,392086,8.05,S,29.69911764705882,no,29
1.0,female,3.0,2.0,19950,263.0,S,23.0,yes,26
3.0,male,0.0,0.0,343275,8.05,S,24.0,no,22
3.0,male,0.0,0.0,343276,8.05,S,29.0,no,20
3.0,male,0.0,0.0,347466,7.8542,S,20.0,no,26
1.0,male,1.0,0.0,5734,61.175,S,46.0,no,27
3.0,male,1.0,2.0,2315,20.575,S,26.0,no,23
3.0,male,0.0,0.0,364500,7.25,S,59.0,no,17
3.0,male,0.0,0.0,374910,8.05,S,29.69911764705882,no,27
1.0,male,0.0,0.0,17754,34.6542,C,71.0,no,25
1.0,male,0.0,1.0,17759,63.3583,C,23.0,yes,31
2.0,female,0.0,1.0,231919,23.0,S,34.0,yes,36
2.0,male,1.0,0.0,244367,26.0,S,34.0,no,17
3.0,female,0.0,0.0,349245,7.8958,S,28.0,no,23
3.0,male,0.0,0.0,349215,7.8958,S,29.69911764705882,no,32
1.0,male,0.0,1.0,35281,77.2875,S,21.0,no,25
3.0,male,0.0,0.0,7540,8.6542,S,33.0,no,26
3.0,male,2.0,0.0,3101276,7.925,S,37.0,no,30
3.0,male,0.0,0.0,349207,7.8958,S,28.0,no,21
3.0,female,0.0,0.0,343120,7.65,S,21.0,yes,32
3.0,male,0.0,0.0,312991,7.775,S,29.69911764705882,yes,22
3.0,male,0.0,0.0,349249,7.8958,S,38.0,no,15
3.0,female,1.0,0.0,371110,24.15,Q,29.69911764705882,yes,19
1.0,male,0.0,0.0,110465,52.0,S,47.0,no,30
3.0,female,1.0,0.0,2665,14.4542,C,14.5,no,20
3.0,male,0.0,0.0,324669,8.05,S,22.0,no,22
3.0,female,1.0,0.0,4136,9.825,S,20.0,no,23
3.0,female,0.0,0.0,2627,14.4583,C,17.0,no,21
3.0,male,0.0,0.0,3101294,7.925,S,21.0,no,21
3.0,male,0.0,0.0,370369,7.75,Q,70.5,no,20
2.0,male,1.0,0.0,11668,21.0,S,29.0,no,31
1.0,male,0.0,1.0,17558,247.5208,C,24.0,no,24
3.0,female,4.0,2.0,347082,31.275,S,2.0,no,33
2.0,male,2.0,0.0,14879,73.5,S,21.0,no,27
3.0,male,0.0,0.0,54510,8.05,S,29.69911764705882,no,26
2.0,male,1.0,0.0,237736,30.0708,C,32.5,no,20
2.0,female,0.0,0.0,27267,13.0,S,32.5,yes,19
1.0,male,0.0,1.0,35281,77.2875,S,54.0,no,27
3.0,male,1.0,0.0,2651,11.2417,C,12.0,yes,28
3.0,male,0.0,0.0,370372,7.75,Q,29.69911764705882,no,19
3.0,male,0.0,0.0,17369,7.1417,S,24.0,yes,25
3.0,female,1.0,1.0,2668,22.3583,C,29.69911764705882,yes,17
3.0,male,0.0,0.0,347061,6.975,S,45.0,no,18
3.0,male,0.0,0.0,349241,7.8958,C,33.0,no,20
3.0,male,0.0,0.0,3101307,7.05,S,20.0,no,30
3.0,female,1.0,0.0,3337,14.5,S,47.0,no,46
2.0,female,1.0,0.0,228414,26.0,S,29.0,yes,45
2.0,male,0.0,0.0,29178,13.0,S,25.0,no,30
2.0,male,0.0,0.0,2133,15.0458,C,23.0,no,18
1.0,female,0.0,2.0,11752,26.2833,S,19.0,yes,28
1.0,male,1.0,0.0,113803,53.1,S,37.0,no,27
3.0,male,0.0,0.0,7534,9.2167,S,16.0,no,19
1.0,male,0.0,0.0,17593,79.2,C,24.0,no,18
3.0,female,0.0,2.0,2678,15.2458,C,29.69911764705882,no,29
3.0,female,0.0,0.0,347081,7.75,S,22.0,yes,24
3.0,female,1.0,0.0,3101279,15.85,S,24.0,yes,52
3.0,male,0.0,0.0,365222,6.75,Q,19.0,no,19
2.0,male,0.0,0.0,231945,11.5,S,18.0,no,26
2.0,male,1.0,1.0,33112,36.75,S,19.0,no,28
3.0,male,0.0,0.0,350043,7.7958,S,27.0,yes,44
3.0,female,2.0,2.0,6608,34.375,S,9.0,no,32
2.0,male,0.0,2.0,230080,26.0,S,36.5,no,40
2.0,male,0.0,0.0,244310,13.0,S,42.0,no,33
2.0,male,0.0,0.0,1166,12.525,S,51.0,no,26
1.0,female,1.0,0.0,113776,66.6,S,22.0,yes,33
3.0,male,0.0,0.0,11206,8.05,S,55.5,no,16
3.0,male,0.0,2.0,851,14.5,S,40.5,no,31
3.0,male,0.0,0.0,265302,7.3125,S,29.69911764705882,no,21
1.0,male,0.0,1.0,17597,61.3792,C,51.0,no,27
3.0,female,0.0,0.0,35851,7.7333,Q,16.0,yes,32
3.0,male,0.0,0.0,392090,8.05,S,30.0,no,15
3.0,male,0.0,0.0,315037,8.6625,S,29.69911764705882,no,19
3.0,male,8.0,2.0,2343,69.55,S,29.69911764705882,no,26
3.0,male,0.0,1.0,371362,16.1,S,44.0,no,24
2.0,female,0.0,0.0,33595,15.75,S,40.0,yes,50
3.0,male,0.0,0.0,347068,7.775,S,26.0,no,26
3.0,male,0.0,0.0,315093,8.6625,S,17.0,no,15
3.0,male,4.0,1.0,3101295,39.6875,S,1.0,no,28
3.0,male,0.0,2.0,363291,20.525,S,9.0,yes,47
1.0,female,0.0,1.0,113505,55.0,S,29.69911764705882,yes,38
3.0,female,1.0,4.0,347088,27.9,S,45.0,no,47
1.0,male,0.0,0.0,17318,25.925,S,29.69911764705882,no,19
3.0,male,0.0,0.0,1601,56.4958,S,28.0,no,13
1.0,male,0.0,0.0,111240,33.5,S,61.0,no,25
3.0,male,4.0,1.0,382652,29.125,Q,4.0,no,20
3.0,female,1.0,1.0,347742,11.1333,S,1.0,yes,28
3.0,male,0.0,0.0,3101280,7.925,S,21.0,no,25
1.0,male,0.0,0.0,17764,30.6958,C,56.0,no,23
3.0,male,1.0,1.0,350404,7.8542,S,18.0,no,22
3.0,male,3.0,1.0,4133,25.4667,S,29.69911764705882,no,29
1.0,female,0.0,0.0,17595,28.7125,C,50.0,no,26
2.0,male,0.0,0.0,250653,13.0,S,30.0,no,18
3.0,male,0.0,0.0,0,0.0,S,36.0,no,19
3.0,female,8.0,2.0,2343,69.55,S,29.69911764705882,no,28
2.0,male,0.0,0.0,2131,15.05,C,29.69911764705882,no,16
3.0,male,4.0,2.0,347077,31.3875,S,9.0,no,37
2.0,male,2.0,1.0,230136,39.0,S,1.0,yes,25
3.0,female,0.0,2.0,315153,22.025,S,4.0,yes,35
1.0,male,0.0,0.0,113767,50.0,S,29.69911764705882,no,21
3.0,female,1.0,0.0,370365,15.5,Q,29.69911764705882,yes,47
1.0,male,0.0,0.0,111428,26.55,S,45.0,yes,45
3.0,male,1.0,1.0,364849,15.5,Q,40.0,no,16
3.0,male,0.0,0.0,349247,7.8958,S,36.0,no,19
2.0,female,0.0,0.0,234604,13.0,S,32.0,yes,19
2.0,male,0.0,0.0,28424,13.0,S,19.0,no,21
3.0,female,1.0,0.0,350046,7.8542,S,19.0,yes,47
2.0,male,1.0,1.0,230080,26.0,S,3.0,yes,26
1.0,female,0.0,0.0,17610,27.7208,C,44.0,yes,41
1.0,female,0.0,0.0,17569,146.5208,C,58.0,yes,20
3.0,male,0.0,0.0,368703,7.75,Q,29.69911764705882,no,19
3.0,male,0.0,1.0,4579,8.4042,S,42.0,no,32
3.0,female,0.0,0.0,370370,7.75,Q,29.69911764705882,yes,32
2.0,female,0.0,0.0,248747,13.0,S,24.0,no,38
3.0,male,0.0,0.0,345770,9.5,S,28.0,no,30
3.0,male,8.0,2.0,2343,69.55,S,29.69911764705882,no,19
3.0,male,0.0,0.0,3101264,6.4958,S,34.0,no,26
3.0,male,0.0,0.0,2628,7.225,C,45.5,no,20
3.0,male,0.0,0.0,3540,8.05,S,18.0,yes,24
3.0,female,0.0,1.0,347054,10.4625,S,2.0,no,26
3.0,male,1.0,0.0,3101278,15.85,S,32.0,no,26
3.0,male,0.0,0.0,2699,18.7875,C,26.0,yes,27
3.0,female,0.0,0.0,367231,7.75,Q,16.0,yes,25
1.0,male,0.0,0.0,112277,31.0,C,40.0,yes,16
3.0,male,0.0,0.0,3101311,7.05,S,24.0,no,14
2.0,female,0.0,0.0,13528,21.0,S,35.0,yes,26
3.0,male,0.0,0.0,21174,7.25,S,22.0,no,22
2.0,male,0.0,0.0,250646,13.0,S,30.0,no,27
3.0,male,1.0,0.0,367229,7.75,Q,29.69911764705882,no,19
1.0,female,1.0,0.0,35273,113.275,C,31.0,yes,23
3.0,female,0.0,0.0,3101283,7.925,S,27.0,yes,22
2.0,male,1.0,0.0,243847,27.0,S,42.0,no,28
1.0,female,0.0,0.0,11813,76.2917,C,32.0,yes,21
2.0,male,0.0,0.0,14208,10.5,S,30.0,no,18
3.0,male,0.0,0.0,392089,8.05,S,16.0,yes,30
2.0,male,0.0,0.0,220367,13.0,S,27.0,no,20
3.0,male,0.0,0.0,21440,8.05,S,51.0,no,23
3.0,male,0.0,0.0,349234,7.8958,S,29.69911764705882,no,20
1.0,male,1.0,0.0,19943,90.0,S,38.0,yes,28
3.0,male,0.0,0.0,4348,9.35,S,22.0,no,28
2.0,male,0.0,0.0,751,10.5,S,19.0,yes,25
3.0,male,0.0,0.0,21173,7.25,S,20.5,no,31
2.0,male,0.0,0.0,236171,13.0,S,18.0,no,25
3.0,female,3.0,1.0,4133,25.4667,S,29.69911764705882,no,23
1.0,female,1.0,0.0,36973,83.475,S,35.0,yes,44
3.0,male,0.0,0.0,347067,7.775,S,29.0,no,24
2.0,male,0.0,0.0,237442,13.5,S,59.0,no,25
3.0,female,4.0,2.0,347077,31.3875,S,5.0,yes,30
2.0,male,0.0,0.0,29566,10.5,S,24.0,no,33
3.0,female,0.0,0.0,6609,7.55,S,29.69911764705882,no,28
2.0,male,1.0,0.0,26707,26.0,S,44.0,no,17
2.0,female,0.0,2.0,31921,26.25,S,8.0,yes,32
2.0,male,0.0,0.0,28665,10.5,S,19.0,no,31
2.0,male,0.0,0.0,1585,12.275,S,33.0,no,22
3.0,female,1.0,0.0,2665,14.4542,C,29.69911764705882,no,21
3.0,female,1.0,0.0,367230,15.5,Q,29.69911764705882,yes,30
2.0,male,0.0,0.0,14263,10.5,S,29.0,no,31
3.0,male,0.0,0.0,3101275,7.125,S,22.0,no,29
3.0,male,0.0,0.0,2694,7.225,C,30.0,no,20
1.0,male,2.0,0.0,19928,90.0,Q,44.0,no,27
3.0,female,0.0,0.0,347071,7.775,S,25.0,no,37
2.0,female,0.0,2.0,250649,14.5,S,24.0,yes,31
1.0,male,1.0,1.0,11751,52.5542,S,37.0,yes,29
2.0,male,1.0,0.0,244252,26.0,S,54.0,no,29
3.0,male,0.0,0.0,362316,7.25,S,29.69911764705882,no,22
3.0,female,1.0,1.0,347054,10.4625,S,29.0,no,42
1.0,male,0.0,0.0,113514,26.55,S,62.0,no,25
3.0,male,1.0,0.0,3336,16.1,S,30.0,no,24
3.0,female,0.0,2.0,370129,20.2125,S,41.0,no,40
3.0,female,0.0,2.0,2650,15.2458,C,29.0,yes,39
1.0,female,0.0,0.0,17585,79.2,C,29.69911764705882,yes,30
1.0,female,0.0,0.0,110152,86.5,S,30.0,yes,20
1.0,female,0.0,0.0,17755,512.3292,C,35.0,yes,16
2.0,female,0.0,1.0,230433,26.0,S,50.0,yes,27
3.0,male,0.0,0.0,384461,7.75,Q,29.69911764705882,no,17
3.0,male,4.0,2.0,347077,31.3875,S,3.0,yes,33
1.0,male,1.0,1.0,110413,79.65,S,52.0,no,17
1.0,male,0.0,0.0,112059,0.0,S,40.0,no,21
3.0,female,0.0,0.0,382649,7.75,Q,29.69911764705882,no,18
2.0,male,0.0,0.0,17248,10.5,S,36.0,no,17
3.0,male,4.0,1.0,3101295,39.6875,S,16.0,no,25
3.0,male,1.0,0.0,347083,7.775,S,25.0,yes,24
1.0,female,0.0,1.0,17582,153.4625,S,58.0,yes,45
1.0,female,0.0,0.0,17760,135.6333,S,35.0,yes,22
1.0,male,0.0,0.0,113798,31.0,S,29.69911764705882,no,21
3.0,male,0.0,0.0,0,0.0,S,25.0,yes,28
2.0,female,0.0,1.0,250644,19.5,S,41.0,yes,41
1.0,male,0.0,1.0,17596,29.7,C,37.0,no,21
3.0,female,0.0,0.0,370375,7.75,Q,29.69911764705882,yes,26
1.0,female,1.0,0.0,13502,77.9583,S,63.0,yes,33
3.0,female,0.0,0.0,347073,7.75,S,45.0,no,33
2.0,male,0.0,0.0,239853,0.0,S,29.69911764705882,no,27
3.0,male,4.0,1.0,382652,29.125,Q,7.0,no,18
3.0,female,1.0,1.0,2673,20.25,S,35.0,yes,32
3.0,male,0.0,0.0,336439,7.75,Q,65.0,no,16
3.0,male,0.0,0.0,347464,7.8542,S,28.0,no,32
3.0,male,0.0,0.0,345778,9.5,S,16.0,no,25
3.0,male,0.0,0.0,10482,8.05,S,19.0,yes,26
1.0,male,0.0,0.0,113056,26.0,S,29.69911764705882,no,26
3.0,male,0.0,0.0,349239,8.6625,C,33.0,no,19
3.0,male,0.0,0.0,345774,9.5,S,30.0,yes,23
3.0,male,0.0,0.0,349206,7.8958,S,22.0,no,20
2.0,male,0.0,0.0,237798,13.0,S,42.0,yes,20
3.0,female,0.0,0.0,370373,7.75,Q,22.0,yes,20
1.0,female,0.0,0.0,19877,78.85,S,26.0,yes,28
1.0,female,1.0,0.0,11967,91.0792,C,19.0,yes,39
2.0,male,0.0,0.0,2163,12.875,C,36.0,no,22
3.0,female,0.0,0.0,349236,8.85,S,24.0,no,19
3.0,male,0.0,0.0,349233,7.8958,S,24.0,no,16
1.0,male,0.0,0.0,17612,27.7208,C,29.69911764705882,no,17
